,date,open,close,high,low,volume,open_interest
755344,20140506,41080000,40970000,41130000,40770000,560348,285340
755345,20140507,41010000,41020000,41080000,40930000,479156,264616
755346,20140508,40890000,40550000,40920000,40400000,773628,280466
755347,20140509,40450000,40560000,40630000,40300000,531224,266262
755348,20140512,40560000,40870000,40910000,40470000,595978,255388
755349,20140513,41190000,40940000,41350000,40830000,509068,367204
755350,20140514,41090000,41160000,41190000,40940000,356140,374128
755351,20140515,41650000,41360000,41690000,41280000,655744,386500
755352,20140516,41150000,40860000,41230000,40820000,707062,393750
755353,20140519,40800000,41160000,41190000,40720000,662404,413652
755354,20140520,41260000,40920000,41280000,40810000,709702,420414
755355,20140521,40820000,41130000,41270000,40770000,911236,404148
755356,20140522,40980000,41310000,41330000,40940000,825028,414124
755357,20140523,41440000,41280000,41450000,41050000,772024,405660
755358,20140526,41220000,41210000,41290000,41110000,472584,401144
755359,20140527,41230000,40860000,41260000,40850000,463534,445944
755360,20140528,40660000,40660000,40760000,40460000,942616,451574
755361,20140529,40710000,40210000,40730000,40160000,898466,481452
755362,20140530,40240000,40550000,40570000,40230000,837394,454228
755363,20140603,40300000,40380000,40400000,39820000,312156,462664
755364,20140604,40290000,40360000,40440000,40190000,577894,470086
755365,20140605,40390000,40410000,40490000,40290000,537656,469398
755366,20140606,40720000,40700000,40830000,40550000,724202,453502
755367,20140609,40660000,40570000,40730000,40310000,723684,452176
755368,20140610,40630000,40530000,40640000,40460000,384502,438010
755369,20140611,40580000,40740000,40800000,40560000,459270,431786
755370,20140612,40770000,40580000,40770000,40490000,423912,423590
755371,20140613,40620000,41210000,41300000,40580000,1013246,428314
755372,20140616,41140000,41560000,41820000,41040000,929098,454052
755373,20140617,41500000,41180000,41510000,41060000,859212,425020
755374,20140618,41140000,41250000,41440000,41100000,701454,429202
755375,20140619,41250000,41640000,41750000,41230000,908184,452550
755376,20140620,41920000,43350000,43680000,41880000,3435902,550344
755377,20140623,43380000,43570000,43920000,43280000,2187908,559734
755378,20140624,43730000,43600000,43730000,43350000,1345170,565638
755379,20140625,43790000,43390000,43900000,43060000,1907538,532808
755380,20140626,43480000,43350000,43780000,43280000,1363994,495556
755381,20140627,43430000,43460000,43840000,43330000,1384210,509330
755382,20140630,43500000,43190000,43660000,43020000,1051206,482794
755383,20140701,43150000,43320000,43680000,43070000,1168864,462684
755384,20140702,43380000,43420000,43600000,43210000,1038612,452686
755385,20140703,43420000,43280000,43690000,43150000,1266292,448024
755386,20140704,43350000,43530000,43580000,43270000,1045254,471534
755387,20140707,43470000,42860000,43560000,42600000,860316,429458
755388,20140708,42960000,43100000,43150000,42770000,755290,421442
755389,20140709,43180000,43230000,43340000,42920000,1055534,426574
755390,20140710,43310000,43340000,43600000,42980000,1112624,447660
755391,20140711,43740000,44210000,44250000,43700000,1360226,492204
755392,20140714,44130000,43530000,44200000,43470000,965344,450420
755393,20140715,43400000,43270000,43400000,43070000,864812,424392
755394,20140716,43270000,42980000,43450000,42820000,1208670,438250
755395,20140717,43050000,43120000,43220000,42910000,642114,436108
755396,20140718,43110000,43370000,43710000,43030000,1039886,408420
755397,20140721,43150000,43350000,43360000,42930000,761380,409916
755398,20140722,43410000,43280000,43420000,43150000,674040,424142
755399,20140723,43380000,43410000,43600000,43230000,837118,447776
755400,20140724,43450000,43210000,43500000,43000000,711982,453200
755401,20140725,43250000,42700000,43270000,42510000,1405948,471708
755402,20140728,42770000,42960000,43300000,42580000,905170,445724
755403,20140729,42990000,42920000,43010000,42810000,585510,452170
755404,20140730,43110000,42890000,43130000,42700000,736204,451678
755405,20140731,42890000,43070000,43090000,42740000,649986,459330
755406,20140801,42950000,42750000,42960000,42650000,773312,448362
755407,20140804,42900000,42890000,43130000,42760000,745478,452688
755408,20140805,42880000,42740000,42950000,42430000,714512,487568
755409,20140806,42580000,42120000,42580000,42050000,1182886,528878
755410,20140807,42300000,42370000,42550000,42270000,781926,518338
755411,20140808,42300000,42530000,42610000,42180000,793116,542052
755412,20140811,42330000,42290000,42430000,42210000,586666,525458
755413,20140812,42400000,42380000,42450000,42310000,412464,516208
755414,20140813,42480000,42370000,42500000,42150000,506238,517884
755415,20140814,42380000,42150000,42410000,41940000,685780,520478
755416,20140815,42130000,42160000,42270000,42060000,453006,520626
755417,20140818,41540000,41330000,41870000,41130000,1198662,456528
755418,20140819,41390000,41220000,41420000,41220000,373316,455378
755419,20140820,41190000,41080000,41200000,40750000,795890,443216
755420,20140821,41080000,40980000,41350000,40840000,758432,455874
755421,20140822,40940000,41220000,41340000,40910000,508332,457348
755422,20140825,41100000,41140000,41290000,41030000,556536,467402
755423,20140826,41140000,41460000,41490000,41020000,474272,470556
755424,20140827,41550000,41320000,41580000,41160000,537758,469522
755425,20140828,41350000,41690000,41750000,41110000,666712,520354
755426,20140829,41790000,41620000,41790000,41480000,608892,515016
755427,20140901,41590000,41520000,41740000,41400000,446122,506372
755428,20140902,41400000,41230000,41550000,41190000,366706,504412
755429,20140903,41020000,41110000,41160000,40940000,602166,512322
755430,20140904,41030000,41080000,41190000,41020000,291490,518630
755431,20140905,41110000,41050000,41420000,40890000,619874,513006
755432,20140909,41000000,40920000,41080000,40820000,189744,516016
755433,20140910,40900000,41140000,41240000,40690000,621716,530836
755434,20140911,41030000,40980000,41150000,40880000,491756,530324
